A;B;C;m
0.1509419;-0.4911518;0.5097711;809
-0.2659553;0.205441;-0.525342;877
-0.5297502;0.6922036;-0.3062079;937
0.2310582;-0.0367251;-0.5518873;1049
-0.0284228;-0.1102737;-0.8206857;1151
0.4632393;-0.3070908;-0.4111162;1249
-0.1062429;0.3754669;0.4631347;1373
-0.1781537;0.1232548;0.8542221;1499
-0.2699152;NaN;NaN;NaN
-0.2324611;NaN;NaN;NaN
-0.3357432;NaN;NaN;NaN
-0.5153304;NaN;NaN;NaN
-0.5041385;NaN;NaN;NaN
0.0768322;NaN;NaN;NaN
-0.6420236;NaN;NaN;NaN
0.4041028;NaN;NaN;NaN
-0.0480115;NaN;NaN;NaN
0.2242511;NaN;NaN;NaN
-0.0059331;NaN;NaN;NaN
-0.1309919;NaN;NaN;NaN
-0.258963;NaN;NaN;NaN
-0.2106987;NaN;NaN;NaN
0.4563582;NaN;NaN;NaN
0.2630883;NaN;NaN;NaN
0.2789764;NaN;NaN;NaN
-0.315049;NaN;NaN;NaN
-0.3216696;NaN;NaN;NaN
0.3355017;NaN;NaN;NaN
0.62164;NaN;NaN;NaN
-0.3458963;NaN;NaN;NaN
0.5720819;NaN;NaN;NaN
-0.3588651;NaN;NaN;NaN
0.2514535;NaN;NaN;NaN
-0.0721621;NaN;NaN;NaN
-0.3468258;NaN;NaN;NaN
-0.2883191;NaN;NaN;NaN
-0.0248012;NaN;NaN;NaN
-0.2622779;NaN;NaN;NaN
0.4511032;NaN;NaN;NaN
-0.6618391;NaN;NaN;NaN
-0.1530031;NaN;NaN;NaN
0.2815883;NaN;NaN;NaN
-0.05182;NaN;NaN;NaN
-0.1738874;NaN;NaN;NaN
0.3462068;NaN;NaN;NaN
0.1008044;NaN;NaN;NaN
-0.7607163;NaN;NaN;NaN
-0.2167973;NaN;NaN;NaN
-0.3151553;NaN;NaN;NaN
-0.0137994;NaN;NaN;NaN
0.2213847;NaN;NaN;NaN
-0.076844;NaN;NaN;NaN
0.2985387;NaN;NaN;NaN
0.1172688;NaN;NaN;NaN
0.0996543;NaN;NaN;NaN
0.3426698;NaN;NaN;NaN
-0.0225972;NaN;NaN;NaN
-0.0927463;NaN;NaN;NaN
0.0486259;NaN;NaN;NaN
-0.1601847;NaN;NaN;NaN
-0.1291178;NaN;NaN;NaN
-0.1298936;NaN;NaN;NaN
0.3304288;NaN;NaN;NaN
0.013278;NaN;NaN;NaN
